"";"geo";"unit";"time";"PKB";"GEO";"Region";"Kraj";"dl"
"240";"AT130";"MIO_EUR";2009;75754;"AT130 - Wien";"Wien";"AT";5
"241";"AT130";"MIO_EUR";2014;84255;"AT130 - Wien";"Wien";"AT";5
"242";"AT130";"MIO_EUR";2011;80022;"AT130 - Wien";"Wien";"AT";5
"243";"AT130";"MIO_EUR";2012;81472;"AT130 - Wien";"Wien";"AT";5
"244";"AT130";"MIO_EUR";2006;70711;"AT130 - Wien";"Wien";"AT";5
"245";"AT130";"MIO_EUR";2002;61956;"AT130 - Wien";"Wien";"AT";5
"246";"AT130";"MIO_EUR";2010;77518;"AT130 - Wien";"Wien";"AT";5
"247";"AT130";"MIO_EUR";2000;57601;"AT130 - Wien";"Wien";"AT";5
"248";"AT130";"MIO_EUR";2007;73433;"AT130 - Wien";"Wien";"AT";5
"249";"AT130";"MIO_EUR";2008;76251;"AT130 - Wien";"Wien";"AT";5
"250";"AT211";"MIO_EUR";2012;10339;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
"251";"AT211";"MIO_EUR";2005;8478;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
"252";"AT211";"MIO_EUR";2006;8772;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
"253";"AT211";"MIO_EUR";2000;7263;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
"254";"AT211";"MIO_EUR";2014;10647;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
"255";"AT211";"MIO_EUR";2003;7702;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
"256";"AT211";"MIO_EUR";2009;9323;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
"257";"AT211";"MIO_EUR";2001;7346;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
"258";"AT211";"MIO_EUR";2004;8049;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
"259";"AT211";"MIO_EUR";2011;10315;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
"260";"AT211";"MIO_EUR";2007;9394;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
"261";"AT211";"MIO_EUR";2010;9734;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
"262";"AT211";"MIO_EUR";2008;9660;"AT211 - Klagenfurt-Villach";"Klagenfurt-Villach";"AT";5
